ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,azucar_pol_menor_99_2,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
adolfo lopez mateos,2024-2025,10,43319.0,41364.333,778.14,3417.33,0.0,0.0,0.0,0.0,3417.33,0,822.799,0.0,93.515,77.607,91.54,95.352,30.981,14.222,10.957,14.477,11.414,78.838,1.644,51.55,1954.667,220.609,664.425,48.253,129.612,1062.899,0.0,0.0,0.0,0,0.0,05:30,01:20,00:00,00:00,00:00,06:50,77.043,0.0,100.0,0.44,896971.0,55.66993,7.8887
adolfo lopez mateos,2024-2025,11,122945.0,117336.782,2098.755,10226.46,0.0,0.0,0.0,0.0,10226.46,0,3176.603,0.0,93.927,79.201,95.085,95.515,30.093,14.013,11.029,14.154,11.078,78.269,1.644,50.772,5608.218,608.163,1596.545,139.14,476.352,2820.2,0.0,0.0,0.0,0,0.0,09:00,03:55,00:00,00:00,00:00,12:55,78.705,0.0,100.0,0.466,2644510.0,58.579967,8.3179
adolfo lopez mateos,2024-2025,12,185717.0,177082.151,3119.722,15462.84,0.0,2234.45,0.0,0.0,13228.39,0,5708.408,0.0,93.79,79.351,95.399,95.591,29.64,13.938,11.019,14.155,11.041,77.998,1.639,50.339,8635.145,902.328,2411.101,217.249,694.924,4225.602,0.0,0.0,0.0,0,0.0,27:40:00,07:35,00:00,02:10,13:35,51:00:00,79.057,0.0,100.0,0.501,3791474.0,59.529983,8.326
adolfo lopez mateos,2024-2025,13,250525.0,238766.549,4197.806,21412.19,0.0,8183.8,0.0,0.0,13228.39,0,8186.066,0.0,93.66,78.959,95.159,95.597,29.831,14.165,11.02,14.202,11.071,77.952,1.626,49.924,11758.747,1215.473,3365.824,322.043,905.51,5808.85,0.0,0.0,0.0,0,0.0,30:55:00,09:50,00:00,08:55,20:50,70:30:00,77.797,0.0,100.0,0.523,5586610.0,59.679985,8.5469
adolfo lopez mateos,2024-2025,14,286102.0,272723.786,4754.105,24610.89,0.0,11382.5,0.0,0.0,13228.39,0,9601.727,0.0,93.563,79.176,95.148,95.575,29.823,14.206,11.021,14.217,11.07,77.864,1.635,49.758,13378.51,1395.178,3788.008,370.713,1012.138,6566.037,0.0,0.0,0.0,0,0.0,32:10:00,10:00,00:00,48:35:00,64:50:00,155:35:00,77.58,0.0,100.0,0.534,6523851.0,60.179991,8.6021
adolfo lopez mateos,2024-2025,15,338232.0,322514.389,5571.274,28856.49,0.0,15628.1,0.0,0.0,13228.39,0,12407.925,0.0,93.337,78.2,95.121,95.593,29.948,14.328,11.027,14.276,11.081,77.623,1.623,49.544,15717.907,1643.639,4807.786,441.072,1238.092,8130.589,0.0,0.0,0.0,0,0.0,33:30:00,18:45,00:00,48:35:00,103:00:00,203:50:00,76.961,0.0,100.0,0.545,8195702.0,60.709992,8.5315
adolfo lopez mateos,2024-2025,16,402874.0,384046.388,6613.166,33669.04,0.0,18906.55,1534.1,0.0,13228.39,0,14178.753,0.0,93.753,78.585,95.569,95.631,30.047,14.426,11.076,14.268,11.083,77.681,1.611,49.376,18827.908,1949.791,5637.965,546.204,1422.038,9555.998,0.0,0.0,0.0,0,0.0,41:20:00,30:50:00,00:00,51:20:00,103:00:00,226:30:00,76.778,0.0,100.0,0.551,9466090.0,60.919989,8.3572
adolfo lopez mateos,2024-2025,17,459429.0,437929.046,7539.04,39131.19,4016.5,18906.55,2979.75,0.0,13228.39,0,16080.565,0.0,94.126,78.854,95.401,95.628,30.17,14.519,11.118,14.327,11.144,77.785,1.611,49.257,21500.25,2233.323,6377.644,622.773,1567.4,10801.14,0.0,0.0,0.0,0,0.0,41:50:00,31:15:00,00:00,54:25:00,140:15:00,267:45:00,76.576,0.0,100.0,0.557,10687671.0,60.939987,8.5173
adolfo lopez mateos,2024-2025,18,524229.0,499618.754,8673.546,44827.19,9712.5,18906.55,2979.75,0.0,13228.39,0,18332.862,0.0,94.686,79.099,95.357,95.638,30.231,14.582,11.174,14.378,11.207,77.946,1.612,49.151,24610.542,2555.337,7259.317,707.113,1721.936,12243.703,0.0,0.0,0.0,0,0.0,47:35:00,33:55:00,00:00,69:50:00,141:10:00,292:30:00,76.629,0.0,100.0,0.562,12580582.0,60.439986,8.551
adolfo lopez mateos,2024-2025,19,570883.0,544109.575,9442.327,48928.79,13814.1,18906.55,2979.75,0.0,13228.39,0,20122.073,0.0,94.628,78.873,95.375,95.648,30.363,14.672,11.182,14.403,11.214,77.861,1.603,49.066,26773.721,2778.371,8076.089,765.172,1867.095,13486.727,0.0,0.0,0.0,0,0.0,55:40:00,35:25:00,00:00,71:35:00,192:00:00,354:40:00,76.213,0.0,100.0,0.565,13691712.0,60.45999,8.5707
adolfo lopez mateos,2024-2025,20,623045.0,593722.466,10347.867,53634.64,18453.25,18906.55,3046.45,0.0,13228.39,0,22131.382,0.0,95.176,78.756,95.546,95.647,30.444,14.712,11.238,14.426,11.25,77.981,1.607,49.05,29322.83,3047.94,8924.557,832.601,2069.292,14874.39,0.0,0.0,0.0,0,0.0,80:45:00,37:00:00,00:00,91:10:00,192:00:00,400:55:00,76.387,0.0,100.0,0.569,14950228.0,60.209993,8.6084
adolfo lopez mateos,2024-2025,21,674202.0,642505.563,11199.37,58776.874,23595.484,18906.55,3046.45,0.0,13228.39,0,24170.661,0.0,95.489,78.891,95.562,95.664,30.506,14.759,11.272,14.455,11.284,78.068,1.602,48.992,31696.733,3295.471,9651.086,903.822,2191.684,16042.063,0.0,0.0,0.0,0,0.0,89:35:00,38:00:00,00:00,91:10:00,225:50:00,444:35:00,76.374,0.0,100.0,0.572,16152130.0,60.199993,8.7179
adolfo lopez mateos,2024-2025,22,732628.0,698137.088,12167.88,64332.524,29151.134,18906.55,3046.45,0.0,13228.39,0,26219.095,0.0,95.822,79.088,95.613,95.681,30.666,14.852,11.311,14.484,11.319,78.153,1.593,48.938,34491.208,3578.836,10449.293,993.53,2308.232,17329.891,0.0,0.0,0.0,0,0.0,106:30:00,38:15:00,00:00,91:55:00,236:20:00,473:00:00,76.158,0.0,100.0,0.574,17385714.0,60.209995,8.781
adolfo lopez mateos,2024-2025,23,792152.0,754859.29,13228.992,70556.074,35374.684,18906.55,3046.45,0.0,13228.39,0,28358.44,0.0,96.37,79.563,95.942,95.722,30.762,14.917,11.372,14.497,11.346,78.261,1.581,48.886,37293.006,3853.664,11090.951,1066.796,2398.502,18409.913,0.0,0.0,0.0,0,0.0,116:55:00,39:05:00,00:00,104:50:00,236:20:00,497:09:00,76.235,0.0,100.0,0.577,18671283.0,59.879996,8.9068
adolfo lopez mateos,2024-2025,24,839207.0,799638.037,14092.478,75347.074,40165.684,18906.55,3046.45,0.0,13228.39,0,30407.288,0.0,96.994,79.808,96.111,95.74,30.808,14.954,11.439,14.541,11.395,78.366,1.582,48.832,39569.259,4089.14,11702.926,1113.158,2478.614,19383.838,0.0,0.0,0.0,0,0.0,166:45:00,39:10:00,00:00,112:55:00,236:20:00,555:09:00,76.495,0.0,100.0,0.579,19821217.0,59.549995,8.9783
adolfo lopez mateos,2024-2025,25,898486.0,856065.549,15164.322,81332.074,46150.684,18906.55,3046.45,0.0,13228.39,0,32829.412,0.0,97.852,79.951,96.356,95.767,30.829,14.984,11.532,14.604,11.462,78.484,1.583,48.753,42420.747,4385.629,12584.812,1184.277,2619.128,20773.846,0.0,0.0,0.0,0,0.0,178:05:00,39:30:00,00:00,121:35:00,236:20:00,575:29:00,76.962,0.0,100.0,0.582,21099848.0,59.249994,9.0521
adolfo lopez mateos,2024-2025,26,942634.0,898024.547,16003.974,86226.974,47229.184,22138.6,3630.8,0.0,13228.39,0,34768.872,0.0,98.287,80.12,96.373,95.773,30.889,15.025,11.582,14.658,11.51,78.524,1.585,48.711,44609.749,4615.36,13148.245,1235.427,2705.533,21704.565,0.0,0.0,0.0,0,0.0,201:35:00,66:45:00,00:00,132:35:00,236:20:00,637:14:00,77.085,0.0,100.0,0.586,22222112.0,58.899995,9.1474
adolfo lopez mateos,2024-2025,27,995447.0,948382.224,16958.212,92390.924,47229.184,28302.55,3630.8,0.0,13228.39,0,37148.42,0.0,99.064,80.193,96.489,95.775,30.971,15.079,11.67,14.732,11.583,78.626,1.592,48.66,47065.072,4908.46,13967.054,1311.72,2822.323,23009.557,0.0,0.0,0.0,0,0.0,212:10:00,72:10:00,00:00,153:45:00,236:20:00,674:24:00,77.392,0.0,100.0,0.587,23442371.0,58.699997,9.2813
adolfo lopez mateos,2024-2025,28,1048957.0,999310.705,17986.232,99403.714,47229.184,28302.55,3630.8,0.0,20241.18,0,39140.06,0.0,99.659,80.451,96.484,95.78,31.057,15.136,11.74,14.813,11.654,78.677,1.595,48.601,49646.591,5196.822,14511.657,1380.693,2985.362,24074.534,0.0,0.0,0.0,0,0.0,212:55:00,97:30:00,00:00,153:45:00,236:20:00,700:29:00,77.563,0.0,100.0,0.588,24509753.0,58.319997,9.4764
adolfo lopez mateos,2024-2025,29,1100564.0,1048567.123,19107.015,105371.244,47229.184,28302.55,3630.8,0.0,26208.71,0,41460.287,0.0,100.505,80.632,96.486,95.777,31.134,15.191,11.835,14.909,11.748,78.798,1.605,48.531,51997.173,5500.221,15058.118,1449.927,3217.949,25226.215,0.0,0.0,0.0,0,0.0,223:55:00,97:30:00,00:00,163:20:00,236:20:00,721:04:00,77.908,0.0,100.0,0.591,25602714.0,57.599996,9.5742
adolfo lopez mateos,2024-2025,30,1145257.0,1091099.534,20302.377,109278.374,47229.184,28302.55,5524.5,0.0,28222.14,0,43600.317,0.0,101.258,80.777,96.551,95.784,31.189,15.233,11.918,14.985,11.823,78.901,1.611,48.478,54157.762,5754.338,15548.608,1509.12,3425.351,26237.417,0.0,0.0,0.0,0,0.0,239:50:00,101:35:00,00:00,179:15:00,236:20:00,756:59:00,78.238,0.0,100.0,0.594,26737115.0,56.409995,9.5418
adolfo lopez mateos,2024-2025,31,1194028.0,1137636.37,21367.718,115651.864,47229.184,28302.55,9577.25,0.0,30542.88,0,46414.935,0.0,102.033,80.902,96.66,95.796,31.238,15.268,12.006,15.065,11.898,78.982,1.616,48.43,56391.926,6026.664,16168.451,1564.359,3617.441,27376.915,0.0,0.0,0.0,0,0.0,247:15:00,104:20:00,00:00,189:20:00,236:20:00,777:14:00,78.635,0.0,100.0,0.598,27948610.0,55.879996,9.6858
adolfo lopez mateos,2024-2025,32,1232014.0,0.0,22621.41,120895.64,47229.184,28302.55,9577.25,0.0,35786.66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,00:00,00:00,00:00,00:00,00:00,00:00,0.0,0.0,0.0,0.0,0.0,54.462299,9.8128
