ingenio,zafra,no_s_zafra,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,toneladas_azucar_con_pol_menor_99_2,karbe_ton_cana_bruta_teorico,karbe_ton_cania_neta_teorico,eficiencia_en_fabrica,rendimiento_campo,rendimiento_fabrica,rendimiento_agroindustrial
Adolfo López Mateos,2025-2026,12,16974.0,0.0,282.9,912.27,0.0,0.0,0.0,0.0,912.27,0.0,0.0,0.0,60.0,5.3745,3.224708
Adolfo López Mateos,2025-2026,13,23004.0,22041.8,370.316,1456.77,0.0,0.0,0.0,0.0,1456.77,0.0,92.04,80.609,62.119919,6.3326,3.933856
Adolfo López Mateos,2025-2026,14,58826.0,56463.691,883.141,4564.34,0.0,0.0,0.0,0.0,4564.34,0.0,93.725,79.973,66.609975,7.759,5.168302
Alianza Popular,2025-2026,10,40860.0,39584.878,509.89,3355.45,0.0,3355.45,0.0,0.0,0.0,0.0,110.664,74.255,80.134931,8.212,6.580733
Alianza Popular,2025-2026,11,77285.0,74325.455,992.28,7177.325,0.0,7177.325,0.0,0.0,0.0,0.0,112.212,77.943,77.886282,9.2868,7.233165
Alianza Popular,2025-2026,12,95415.0,91609.182,1323.25,9135.125,0.0,9135.125,0.0,0.0,0.0,0.0,112.297,79.047,72.106555,9.574,6.903551
Alianza Popular,2025-2026,13,123840.0,119083.677,1807.8,11674.9,0.0,11674.9,0.0,0.0,0.0,0.0,111.426,78.411,68.503153,9.4274,6.45807
Alianza Popular,2025-2026,14,158690.0,152213.427,2298.01,15711.325,0.0,15711.325,0.0,0.0,0.0,0.0,112.511,79.275,69.0554,9.9006,6.836926
Atencingo,2025-2026,7,18516.82,0.0,173.769,784.5,0.0,784.5,0.0,0.0,0.0,0.0,0.0,0.0,106.559973,4.2366,4.514614
Atencingo,2025-2026,8,78924.38,77740.572,629.056,7607.0,0.0,7607.0,0.0,0.0,0.0,116.794,118.5725008,83.101311,125.464791,9.6383,12.092723
Atencingo,2025-2026,9,146857.71,144654.889,1159.06,15627.5,0.0,15627.5,0.0,0.0,0.0,116.858,118.6375268,84.102349,126.704148,10.6412,13.482908
Atencingo,2025-2026,10,218271.19,214997.151,1728.868,24107.5,0.0,24107.5,0.0,0.0,0.0,117.028,118.8101363,84.413914,126.250928,11.0447,13.944095
Atencingo,2025-2026,11,285656.44,281371.674,2295.969,32224.5,0.0,32224.5,0.0,0.0,0.0,117.5,119.2893059,84.746522,124.416505,11.2808,14.03525
Atencingo,2025-2026,12,358243.4,352869.843,2948.055,41063.5,0.0,41063.5,0.0,0.0,0.0,118.26,120.0608817,84.896822,121.51856,11.4624,13.929014
Atencingo,2025-2026,13,424140.28,417778.283,3555.687,49298.5,0.0,49298.5,0.0,0.0,0.0,118.981,120.7928624,85.012839,119.285043,11.6231,13.86469
Atencingo,2025-2026,14,489262.3,481923.481,4126.324,57437.5,0.0,57437.5,0.0,0.0,0.0,119.729,121.5522551,85.033689,118.570984,11.7396,13.919774
Bellavista,2025-2026,10,3796.62,3680.33,133.08,133.875,0.0,133.875,0.0,0.0,0.0,0.0,101.546,69.868,28.528854,3.5261,1.005973
Bellavista,2025-2026,11,23610.0,22879.196,317.58,1341.5,0.0,1341.5,0.0,0.0,0.0,0.0,95.1,67.155,74.343472,5.6819,4.224132
Bellavista,2025-2026,12,52567.33,50976.269,626.21,4039.925,0.0,4039.925,0.0,0.0,0.0,0.0,96.439,72.894,83.94521,7.6852,6.45139
Bellavista,2025-2026,13,82849.18,80325.839,928.43,7007.55,0.0,7007.55,0.0,0.0,0.0,0.0,98.184,76.266,89.235785,8.4582,7.547741
Bellavista,2025-2026,14,112282.83,108803.759,1236.22,10062.9,0.0,10062.9,0.0,0.0,0.0,0.0,99.931,78.229,90.827546,8.9621,8.140055
Central Casasano,2025-2026,9,8759.24,0.0,83.608,358.5,0.0,358.5,0.0,0.0,0.0,0.0,0.0,82.725,104.765572,4.0928,4.287867
Central Casasano,2025-2026,10,36548.78,36399.542,334.75,3750.0,0.0,3750.0,0.0,0.0,0.0,0.0,117.647,83.557,109.182315,10.2602,11.202389
