ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,6,77102.75,69685.404,857.0,4130.15,2887.35,1242.8,0.0,0.0,59051,1902.122,0.0,0.0,74.346,97.985,93.505,28.308,11.79,12.37,15.2,11.8,77.68,2.84,54.21,7304.022,619.463,1040.701,119.226,667.43,2446.82,267834,0,0,38556,306390,42:20:00,00:00,00:00,00:00,00:00,42:20:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,7,118637.14,108073.325,1405.25,8103.6,6860.8,1242.8,0.0,0.0,184769,3322.174,0.0,0.0,76.53,98.062,94.066,27.608,11.77,12.46,15.33,11.95,77.94,2.68,53.46,10446.097,876.987,1504.459,185.499,901.8,3468.745,267834,241882,0,134538,644254,74:35:00,01:15,00:00,00:05,00:00,75:55:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,8,162060.66,148152.824,1724.0,13138.3,11895.5,1242.8,0.0,0.0,387307,4890.357,0.0,0.0,77.83,98.243,94.308,27.421,11.78,12.52,15.39,12.02,78.12,2.6,53.21,13790.118,1155.184,1974.638,254.167,1114.97,4498.959,267834,426279,0,204663,898776,79:45:00,01:15,00:00,00:05,16:00,97:05:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,9,197613.03,181417.272,1958.25,16384.4,15141.6,1242.8,0.0,0.0,535515,6167.236,0.0,0.0,78.536,98.129,94.488,27.292,11.82,12.64,15.48,12.17,78.62,2.55,52.9,16078.04,1376.56,2359.762,314.957,1308.77,5360.049,267834,605921,0,242518,1116274,90:25:00,01:15,00:00,00:05,55:60,147:45:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,10,239302.57,220133.463,2334.5,20981.2,19738.4,1242.8,0.0,0.0,730875,7593.399,0.0,0.0,78.777,98.072,94.614,27.101,11.84,12.71,15.53,12.26,78.91,2.52,52.53,19051.389,1637.569,2883.444,392.55,1539.34,6452.903,267834,880285,0,316062,1464182,116:55:00,01:15,00:00,00:05,55:60,174:15:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,11,283785.03,261247.034,2700.0,26690.2,24366.8,2323.4,0.0,0.0,929065,9038.555,0.0,0.0,79.109,97.959,94.662,26.962,11.85,12.86,15.61,12.43,79.64,2.55,52.25,22420.278,1948.558,3416.91,451.037,1809.01,7625.515,267834,1080828,0,382163,1730825,135:40:00,01:15,00:00,00:05,55:60,193:00:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,12,312825.23,287950.535,2954.0,29854.4,26436.85,3417.55,0.0,0.0,1014772,10202.297,0.0,0.0,79.14,97.884,94.667,26.869,11.86,12.95,15.56,12.53,80.52,2.57,52.02,24756.977,2160.771,3716.581,489.864,2084.02,8451.236,267834,1312061,0,423302,2003197,204:15:00,01:15,00:00,00:05,55:60,261:35:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,13,358831.34,330142.599,3433.75,35840.0,26436.85,9403.15,0.0,0.0,1014772,11901.555,0.0,0.0,79.463,97.94,94.71,26.765,11.87,13.08,15.57,12.65,81.21,2.58,51.82,28593.979,2482.821,4234.046,535.775,2385.32,9637.962,267834,1312061,0,423302,2003197,212:35:00,01:15,00:00,00:05,55:60,269:55:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,14,398128.08,366136.308,3884.25,40387.75,26436.85,13950.9,0.0,0.0,1014772,13518.325,0.0,0.0,79.694,97.855,94.737,26.683,11.87,13.14,15.57,12.72,81.71,2.59,51.67,31897.01,2753.245,4664.378,589.148,2616.8,10623.571,267834,1452881,0,423302,2144017,248:50:00,01:15,00:00,00:05,55:60,306:10:00
cia. azucarera del rio guayalejo s.a. de c.v.,2012-2013,15,446724.66,410536.53,4384.0,45819.55,26436.85,19382.7,0.0,0.0,1014772,14810.065,0.0,0.0,80.096,97.762,94.75,26.567,11.87,13.2,15.4,12.79,83.07,2.61,51.47,36093.368,3095.592,5162.432,643.19,2835.11,11736.324,267834,1563328,0,423302,2254464,257:40:00,01:15,00:00,00:05,55:60,315:00:00
