ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
aaron saenz garza,2018-2019,8,24498.04,22516.6609,248.0,1014.55,0.0,1014.549,0.0,0.0,0.0,135.2864706,102.691,111.727,71.337,93.32,94.024,26.316,11.56,12.17,15.092,12.262,81.25,2.764,52.16,1981.3791,178.185,305.902,38.096,332.39,854.573,0.0,0.0,0,0,0.0,38:30:00,00:00,00:00,00:00,00:00,38:30:00,105.277,69.839,33.437,0.736,488023.0,98.782419,4.1413
aaron saenz garza,2018-2019,9,62237.98,57310.8537,563.0,4107.1,0.0,4107.099,0.0,0.0,0.0,1188.212647,105.789,114.884,74.91,93.12,94.407,26.323,11.78,12.503,15.48,12.675,81.88,2.656,51.385,4927.1263,435.204,800.479,67.402,649.27,1952.355,0.0,0.0,0,0,0.0,57:25:00,00:00,00:00,00:00,00:00,57:25:00,106.138,70.283,68.193,0.648,1159639.0,110.547033,6.599
aaron saenz garza,2018-2019,10,98631.25,91070.0189,939.0,8221.2,0.0,8221.199,0.0,0.0,0.0,2765.569471,107.063,115.952,76.029,93.986,94.686,26.128,11.75,12.642,15.534,12.736,81.99,2.571,51.263,7561.2311,662.541,1309.077,101.746,915.54,2988.904,0.0,0.0,0,0,0.0,83:00:00,00:55,00:00,00:00,00:00,83:55:00,107.591,65.507,75.889,0.646,1888991.0,105.038604,8.3352
aaron saenz garza,2018-2019,11,141544.56,130936.3161,1342.0,12539.3,0.0,12539.299,0.0,0.0,0.0,4407.580059,108.824,117.641,77.248,94.748,94.966,26.233,11.83,12.845,15.677,12.875,82.13,2.465,51.177,10608.2439,915.273,1853.05,134.747,1233.55,4136.62,0.0,0.0,0,0,0.0,95:05:00,00:55,00:00,00:00,00:00,96:00:00,108.58,61.81,77.106,0.632,2669065.0,105.472846,8.8589
aaron saenz garza,2018-2019,12,185164.47,171361.922,1774.0,17751.6,0.0,17751.6,0.0,0.0,0.0,5940.497706,109.471,118.288,78.14,94.991,95.076,26.408,11.89,12.934,15.779,12.945,82.04,2.412,51.322,13802.548,1179.217,2381.218,164.808,1509.92,5235.163,0.0,0.0,0,0,0.0,109:15:00,01:20,00:00,00:00,00:00,110:35:00,108.78,61.894,77.489,0.63,3517169.0,104.376815,9.5869
aaron saenz garza,2018-2019,13,225416.44,208665.8723,2222.0,21559.05,1438.15,20120.9,0.0,0.0,0.0,7147.075941,110.421,119.285,78.785,95.262,95.19,26.468,11.94,13.048,15.886,13.038,82.07,2.371,51.28,16750.5677,1414.692,2859.418,189.508,1776.19,6239.808,0.0,0.0,0,0,0.0,131:55:00,01:20,00:00,00:00,00:00,133:15:00,109.28,61.411,80.284,0.636,4343469.0,101.447542,9.564
aaron saenz garza,2018-2019,14,264756.49,245293.7513,2649.0,26208.05,3662.3,22545.75,0.0,0.0,0.0,8506.083588,111.024,119.833,78.987,95.444,95.247,26.506,11.96,13.115,15.934,13.088,82.14,2.352,51.252,19462.7387,1650.214,3328.541,220.619,2096.65,7296.024,0.0,0.0,0,0,0.0,150:00:00,01:20,00:00,00:00,00:00,151:20:00,109.657,59.896,80.192,0.64,5176469.0,99.945824,9.8989
aaron saenz garza,2018-2019,15,303858.48,281639.9187,3112.0,30504.8,3740.65,26764.15,0.0,0.0,0.0,9895.434294,111.805,120.625,79.395,95.784,95.345,26.474,11.98,13.209,16.007,13.149,82.14,2.322,51.172,22218.5613,1868.232,3815.241,249.797,2336.91,8270.18,0.0,0.0,0,0,0.0,166:30:00,01:20,00:00,05:40,00:00,173:30:00,110.259,58.841,84.818,0.641,5963669.0,97.640899,10.0391
aaron saenz garza,2018-2019,16,340517.2,315853.1207,3504.0,34076.8,7082.45,26994.35,0.0,0.0,0.0,11103.75628,111.756,120.483,79.435,95.517,95.337,26.637,12.02,13.223,16.104,13.198,81.95,2.314,51.277,24664.0793,2099.314,4259.832,297.444,2602.77,9259.36,0.0,0.0,0,0,0.0,185:25:00,02:05,00:00,05:40,04:20,197:30:00,110.008,57.425,84.623,0.646,6758669.0,97.179566,10.0073
aaron saenz garza,2018-2019,17,373396.29,346413.3947,3869.0,38101.25,7166.25,30935.0,0.0,0.0,80456.0,12585.23393,112.284,121.03,79.557,95.635,95.391,26.584,12.05,13.289,16.176,13.255,81.94,2.304,51.074,26982.8953,2287.191,4723.738,326.978,2806.02,10143.927,0.0,0.0,0,0,0.0,221:15:00,02:55,00:00,05:40,04:20,234:10:00,110.282,56.671,85.235,0.653,7445869.0,96.509767,10.2039
