ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,azucar_pol_menor_99_2,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
adolfo lopez mateos,2021-2022,10,55471.0,53661.258,828.174,3858.45,0.0,3858.45,0.0,0.0,0.0,0.0,1098.199,0.0,98.251,77.132,94.901,95.896,32.358,15.329,11.59,14.482,11.711,80.871,1.47,50.191,1809.742,263.861,783.668,159.1,263.547,1470.176,0.0,0.0,0,0,0.0,05:40,02:30,00:00,04:40,03:50,16:40,75.608,0.0,100.0,0.742,1077446.0,66.979885,6.9557
adolfo lopez mateos,2021-2022,11,119011.0,114935.692,1672.452,10146.0,0.0,10146.0,0.0,0.0,0.0,0.0,3385.465,0.0,98.858,78.882,95.226,95.909,31.812,15.213,11.651,14.553,11.735,80.633,1.498,49.808,4075.308,567.22,1606.196,271.777,483.074,2928.267,0.0,0.0,0,0,0.0,32:40:00,05:40,00:00,04:35,02:00,44:55:00,76.586,0.0,100.0,0.647,2252957.0,71.15959,8.5252
adolfo lopez mateos,2021-2022,12,173618.0,167602.508,2421.458,15508.25,0.0,15508.25,0.0,0.0,0.0,0.0,5430.079,0.0,99.007,80.333,95.999,96.028,31.028,14.96,11.665,14.523,11.669,80.348,1.493,49.418,6015.492,804.376,2196.4,383.777,598.749,3983.302,0.0,0.0,0,0,0.0,79:55:00,08:30,00:00,04:40,02:00,95:05:00,77.975,0.0,100.0,0.629,3330159.0,71.699777,8.9323
adolfo lopez mateos,2021-2022,13,236529.0,228373.103,3396.458,21869.7,0.0,21869.7,0.0,0.0,0.0,0.0,7692.919,0.0,99.707,80.968,96.735,95.967,30.487,14.766,11.736,14.497,11.643,80.312,1.552,49.175,8155.897,1119.444,2986.487,498.705,678.682,5283.318,0.0,0.0,0,0,0.0,109:15:00,09:05,00:00,04:45,02:00,125:04:00,79.48,0.0,100.0,0.614,4500676.0,69.639901,9.246
adolfo lopez mateos,2021-2022,14,296479.0,286353.204,4140.78,28231.8,0.0,28231.8,0.0,0.0,0.0,0.0,9871.382,0.0,100.893,81.432,97.211,95.952,30.104,14.604,11.852,14.535,11.698,80.484,1.594,49.071,10125.796,1422.417,3778.426,584.763,738.952,6524.558,0.0,0.0,0,0,0.0,128:55:00,10:45,00:00,19:55,02:00,161:34:00,81.156,0.0,100.0,0.607,5638535.0,71.599795,9.5223
adolfo lopez mateos,2021-2022,15,366230.0,353678.877,5072.451,35870.3,0.0,35870.3,0.0,0.0,0.0,0.0,11936.945,0.0,102.277,82.452,97.781,96.018,29.668,14.44,11.979,14.571,11.763,80.729,1.608,48.901,12551.123,1746.842,4490.539,661.934,798.76,7698.075,0.0,0.0,0,0,0.0,134:50:00,11:55,00:00,31:50:00,02:00,180:34:00,82.957,0.0,100.0,0.595,6857371.0,72.19981,9.7944
adolfo lopez mateos,2021-2022,16,421877.0,407582.188,5775.977,40436.05,2950.75,37485.3,0.0,0.0,0.0,0.0,14032.892,0.0,102.515,82.161,97.857,96.093,29.624,14.432,12.009,14.603,11.793,80.754,1.584,48.857,14294.812,1979.217,5448.009,762.845,847.908,9037.979,0.0,0.0,0,0,0.0,150:00:00,11:55,00:00,36:05:00,26:30:00,224:29:00,83.211,0.0,100.0,0.595,7837280.0,73.039937,9.5847
adolfo lopez mateos,2021-2022,17,487903.0,471260.397,6875.755,46824.1,9338.8,37485.3,0.0,0.0,0.0,0.0,16482.139,0.0,102.966,82.027,97.709,96.129,29.674,14.475,12.058,14.68,11.863,80.812,1.573,48.779,16642.603,2277.564,6501.445,893.333,901.443,10573.785,0.0,0.0,0,0,0.0,167:30:00,16:35,00:00,36:10:00,26:30:00,246:44:00,83.302,0.0,100.0,0.593,9145900.0,70.959916,9.597
adolfo lopez mateos,2021-2022,18,554432.0,535533.837,7840.928,54165.1,16679.8,37485.3,0.0,0.0,0.0,0.0,18857.171,0.0,103.408,82.178,97.631,96.168,29.596,14.435,12.097,14.723,11.915,80.929,1.566,48.776,18898.163,2570.309,7410.057,1011.766,960.463,11952.595,0.0,0.0,0,0,0.0,180:05:00,17:50,00:00,38:10:00,30:45:00,266:49:00,83.803,0.0,100.0,0.592,10477437.0,70.709997,9.7694
adolfo lopez mateos,2021-2022,19,611511.0,590625.798,8667.778,59522.55,22037.25,37485.3,0.0,0.0,0.0,0.0,20780.262,0.0,103.311,82.186,97.457,96.147,29.752,14.483,12.093,14.751,11.931,80.879,1.566,48.861,20885.202,2849.487,8195.555,1116.781,1011.597,13173.42,0.0,0.0,0,0,0.0,210:20:00,19:10,00:00,43:55:00,34:25:00,307:50:00,83.498,0.0,100.0,0.593,11719127.0,70.549914,9.7336
